一 g
兢 dqd
入 ty
全 wg
八 wty
公 wc
六 uy
兰 uff
共 aw
关 ud
兴 iw
兵 rgw
其 adw
具 hw
典 maw
养 udyj
兼 uvo
兽 ulg
冀 uxl
内 mw
冈 mqi
册 mm
再 gmf
冒 jhf
冕 jqkq
冗 pmb
写 pgn
军 pl
农 pei
冠 pfqf
冤 pqk
冬 tuu
冯 uc
冰 ui
冲 ukh
决 un
况 ukq
冶 uck
冷 uwyc
冻 uai
净 uqv
凄 ugvv
准 uwy
凉 uyiy
凌 ufw
减 udg
凑 udw
凛 uyl
凝 uxt
几 mt
凡 my
凤 mc
凫 qynm
凭 wtfm
凯 mnm
凰 mrg
凳 wgkm
凶 qb
凸 hgm
凹 mmgd
出 bm
击 fmk
函 bib
凿 ogu
刀 vn
刁 ngd
刃 vyi
分 wv
切 av
刊 fjh
刑 gajh
划 aj
列 gq
刘 yj
则 mj
刚 mqj
创 wbj
初 puv
删 mmgj
判 udjh
刨 qnjh
利 tjh
别 klj
刮 tdjh
到 gc
制 rmhj
刷 nmh
券 udv
刹 qsj
刺 gmi
刻 ynt
刽 wfcj
剂 yjjh
剃 uxhj
削 iej
前 ue
剑 wgi
剔 jqrj
剖 ukj
剥 vijh
剧 ndj
剩 tuxj
剪 uejv
副 gkl
割 pdhj
剿 vjsj
劈 nkuv
力 lt
劝 cl
办 lw
功 al
加 lk
务 tl
劣 itl
动 fcl
助 egl
努 vcl
劫 fcln
励 ddnl
劲 cal
劳 apl
势 rvyl
勃 fpb
勇 cel
勉 qkql
勋 kml
勒 afl
勘 adwl
募 ajdl
勤 akgl
勺 qyi
勾 qci
勿 qre
匀 qu
包 qn
匆 qry
匈 qqb
匕 xtn
化 wx
北 ux
匙 jghx
匠 ar
匣 alk
匪 adjd
匹 aqv
区 aq
医 atd
匾 ayna
匿 aadk
十 fgh
千 tfk
升 tak
午 tfj
半 uf
华 wxf
协 fl
卑 rtfj
卒 ywwf
卓 hjj
单 ujfj
卖 fnud
南 fm
博 fge
卜 hhy
占 hk
卡 hhu
卢 hn
卤 hl
卦 ffhy
卧 ahnh
卫 bg
印 qgb
危 qdb
即 vcb
却 fcb
卵 qyt
卷 udbb
卸 rhb
卿 qtvb
厂 dgt
厅 ds
历 dl
厉 ddn
压 dfy
厌 ddi
厕 dmjk
厘 djfd
厚 djb
原 dr
厢 dsh
厦 ddh
厨 dgkf
去 fcu
县 egc
叁 cdd
参 cd
又 ccc
叉 cyi
及 ey
友 dc
双 cc
反 rc
发 ntc
叔 hic
取 bc
受 epc
变 yo
叙 wtc
叛 udrc
叠 cccg
口 kkkk
古 dgh
句 qkd
另 kl
叨 kvn
只 kw
叫 kn
召 vkf
叭 kwy
叮 ksh
可 sk
台 ck
史 kq
右 dk
叶 kf
号 kgn
司 ngk
叹 kcy
叼 kng
叽 kmn
吁 kgfh
吃 ktn
各 tk
吆 kxy
合 wgk
吉 fk
吊 kmh
同 m
名 qk
后 rg
吏 gkq
吐 kfg
向 tm
吓 kgh
吕 kk
吗 kcg
君 vtkd
吝 ykf
吞 gdk
吟 kwyn
吠 kdy
否 gik
吧 kc
吨 kgb
吩 kwv
含 wynk
听 kr
吭 kym
吮 kcq
启 ynk
吱 kfc
吴 kgd
吵 ki
吸 ke
吹 kqw
吻 kqr
吼 kbn
呀 ka
呆 ks
呈 kg
告 tfkf
呐 kmw
呕 kaqy
员 km
呛 kwb
呜 kqng
呢 knx
周 mfk
味 kfi
呵 ksk
呻 kjh
呼 kt
命 wgkb
咆 kqn
和 t
咏 kyn
咐 kwf
咒 kkm
咕 kdg
咖 klk
咙 kdx
咧 kgq
咨 uqwk
咪 ko
咬 kuq
咱 kth
咳 kynw
咸 dgk
咽 kld
哀 yeu
品 kkk
哄 kaw
哆 kqq
哈 kwg
响 ktm
哎 kaq
哑 kgo
哗 kwx
哟 kx
哥 sks
哨 kie
哩 kjf
哪 kv
哭 kkdu
哮 kft
哲 rrk
哺 kge
哼 kyb
唁 kyg
唆 kcw
唇 dfek
唉 kct
唐 yvh
唠 kap
唤 kqm
唧 kvcb
唬 kham
售 wyk
唯 kwyg
唱 kjj
唾 ktg
啃 khe
啄 keyy
商 um
啊 kb
啡 kdj
啤 krt
啥 kwfk
啦 kru
啰 klqy
啸 kvi
啼 ku
喂 klge
善 uduk
喇 kgk
喉 kwn
喊 kdgt
喘 kmd
喜 fku
喝 kjq
喧 kp
喳 ksj
喷 kfa
喻 kwgj
嗅 kthd
嗓 kcc
嗜 kftj
嗡 kwc
嗤 kbhj
嗦 kfpi
嗽 kgkw
嘀 kum
嘁 kdht
嘉 fkuk
嘱 knt
嘲 kfj
嘴 khx
嘶 kad
嘹 kdui
嘿 klf
器 kkd
噩 gkkk
噪 kkks
嚎 kyp
嚣 kkdk
嚷 kyk
嚼 kel
囊 gkh
囚 lwi
四 lh
回 lkd
因 ld
团 lft
囤 lgb
园 lfq
困 ls
囱 tlqi
围 lfnh
固 ldd
国 l
图 ltu
圃 lgey
圆 lkmi
圈 lud
土 ffff
圣 cff
在 d
地 f
场 fnrt
圾 fe
址 fhg
均 fqu
坊 fyn
坎 fqw
坏 fgi
坐 wwf
坑 fym
块 fnw
坚 jcf
坛 ffc
坝 fmy
坞 fqng
坟 fy
坠 bwff
坡 fhc
坤 fjhh
坦 fjg
坪 fgu
坯 fgig
坷 fsk
垂 tga
垃 fug
垄 dxf
型 gajf
垒 cccf
垛 fms
垢 fr
垦 vef
垫 rvyf
垮 fdfn
埂 fgj
埃 fct
埋 fjf
城 fd
域 fakg
埠 fwn
培 fuk
基 ad
堂 ipkf
堆 fwy
堕 bdef
堡 wksf
堤 fjgh
堪 fad
堰 fajv
堵 fft
塌 fjn
塑 ubtf
塔 fawk
塘 fyv
塞 pfjf
填 ffh
境 fuj
墅 jfcf
墓 ajdf
墙 ffuk
增 fu
墨 lfof
墩 fyb
壁 nkuf
壕 fyp
壤 fyk
士 fghg
壮 ufg
声 fnr
壳 fpm
壶 fpo
壹 fpg
处 th
备 tlf
复 tjt
夏 dht
夕 qtny
外 qh
多 qq
夜 ywt
够 qkqq
大 dd
天 gd
太 dy
夫 fw
夭 tdi
央 md
夯 dlb
失 rw
头 udi
夷 gxw
夸 dfn
夹 guw
夺 df
奄 djn
奇 dskf
奈 dfi
奉 dwf
奋 dlf
奏 dwg
契 dhv
奔 dfa
奕 yod
奖 uqd
套 ddu
奠 usgd
奢 dft
奥 tmo
女 vvv
奴 vcy
奶 ve
奸 vfh
她 vbn
好 vb
如 vk
妄 ynvf
妆 uv
妇 vv
妈 vc
妒 vynt
妓 vfc
妖 vtd
妙 vit
妥 ev
妨 vy
妹 vfi
妻 gv
姆 vx
姊 vtnt
始 vck
姐 veg
姑 vd
姓 vtg
委 tv
姚 viq
姜 ugv
姥 vft
姨 vg
姻 vld
姿 uqwv
威 dgv
娃 vff
娄 ov
娇 vtdj
娘 vyv
娜 vvf
娩 vqk
娱 vkgd
娶 bcv
婆 ihcv
婉 vpq
婚 vq
婴 mmv
婶 vpj
婿 vnhe
媒 vaf
媚 vnh
媳 vthn
嫁 vpe
嫂 vvh
嫉 vut
嫌 vu
嫡 vum
嫩 vgk
嬉 vfk
子 bb
孔 bnn
孕 ebf
字 pb
存 dhb
孙 bi
孝 ftb
孟 blf
季 tb
孤 br
学 ip
孩 bynw
孵 qytb
孽 awnb
宁 ps
它 px
宅 pta
宇 pgf
守 pf
安 pv
宋 psu
完 pfq
宏 pdc
宗 pfi
官 pn
宙 pm
定 pg
宛 pq
宜 peg
宝 pgy
实 pu
宠 pdx
审 pj
客 pt
宣 pgj
室 pgc
宦 pah
宪 ptf
宫 pk
宰 puj
害 pd
宴 pjv
宵 pi
家 pe
容 pww
宽 pa
宾 pr
宿 pwdj
寂 ph
寄 pds
密 pnt
寇 pfqc
富 pgk
寒 pfj
寓 pjm
寝 puvc
寞 paj
察 pwfi
寡 pde
寥 pnw
寨 pfjs
寸 fghy
对 cf
寺 ff
寻 vf
导 nf
寿 dtf
封 fffy
射 tmdf
将 uqf
尉 nfif
尊 usg
小 ih
少 it
尔 qiu
尖 id
尘 iff
尚 imkf
尝 ipf
尤 dnv
就 yi
尸 nngt
尺 nyi
尼 nx
尽 nyu
尾 ntf
尿 nii
局 nnk
屁 nxx
层 nfc
居 nd
屈 nbm
屉 nan
届 nm
屋 ngc
屎 noi
屏 nua
屑 nied
展 nae
属 ntk
屠 nft
屡 no
履 ntt
屯 gb
山 mmm
屹 mtnn
屿 mgn
岁 mqu
岂 mn
岔 wvmj
岖 maq
岗 mmq
岛 qynm
岩 mdf
岭 mwyc
岳 rgm
岸 mdfj
峡 mgu
峦 yom
峭 mi
峰 mtd
峻 mcw
崇 mpf
崎 mds
崔 mwy
崖 mdff
崩 mee
崭 ml
嵌 maf
巍 mtv
川 kthh
州 ytyh
巡 vp
巢 vjs
工 a
左 da
巧 agnn
巨 and
巩 amy
巫 aww
差 uda
己 nng
已 nnnn
巴 cnh
巷 awn
巾 mhk
币 tmh
市 ymhj
布 dmh
帅 jmh
帆 mhm
师 jgm
希 qdm
帐 mht
帕 mhr
帖 mhh
帘 pwm
帚 vpm
帜 mhkw
帝 up
带 gkp
席 yam
帮 dt
常 ipkh
帽 mhj
幅 mhg
幌 mhjq
幔 mhjc
幕 ajdh
幢 mhu
干 fggh
平 gu
年 rh
并 ua
幸 fuf
幻 xnn
幼 xln
幽 xxm
广 yygt
庄 yfd
庆 yd
庇 yxx
床 ysi
序 ycb
庐 yyne
库 ylk
应 yid
底 yqa
店 yhk
庙 ymd
府 ywf
庞 ydx
废 ynty
度 ya
座 yww
庭 ytfp
庵 ydjn
庶 yao
康 yvi
庸 yveh
廉 yuvo
廊 yyv
廓 yyb
延 thp
廷 tfpd
建 vfhp
开 ga
异 naj
弃 yca
弄 gaj
弊 umia
式 aa
弓 xng
引 xh
弛 xb
弟 uxh
张 xt
弥 xqi
弦 xyx
弧 xrc
弯 yox
弱 xu
弹 xuj
强 xk
归 jv
当 iv
录 vi
形 gae
彤 mye
彩 ese
彪 hame
彬 sse
彭 fkue
彰 uje
影 jyie
役 tmc
彻 tavn
彼 thc
往 tyg
征 tgh
径 tca
待 tffy
很 tve
徊 tlk
律 tvfh
徐 twt
徒 tfhy
得 tj
徘 tdjd
徙 thh
御 trh
循 trfh
微 tmg
德 tfl
徽 tmgt
心 ny
必 nt
忆 nn
忌 nnu
忍 vynu
志 fn
忘 ynnu
忙 nynn
忠 khn
忧 ndn
快 nnw
忱 np
念 wynn
忽 qrn
忿 wvnu
怀 ng
态 dyn
怎 thfn
怒 vcn
怔 ngh
怕 nr
怖 ndm
怜 nwyc
思 ln
怠 ckn
急 qvn
性 ntg
怨 qbn
怪 nc
怯 nfcy
总 ukn
恃 nff
恋 yon
恍 niq
恐 amyn
恒 ngj
恕 vkn
恢 ndo
恤 ntl
恨 nv
恩 ldn
恬 ntd
恭 awnu
息 thn
恰 nwgk
恳 venu
恶 gogn
恼 nyb
悄 ni
悉 ton
悍 njf
悔 ntx
悟 ngkg
悠 whtn
患 kkhn
悦 nuk
您 wqin
悬 egcn
悯 nuy
悲 djdn
悴 nywf
悼 nhjh
情 nge
惊 nyiy
惋 npqb
惑 akgn
惕 njq
惜 najg
惠 gjh
惦 nyh
惧 nhw
惨 ncd
惩 tghn
惫 tln
惭 nl
惯 nxf
惰 nda
想 shn
惶 nrgg
惹 adkn
愁 tonu
愈 wgen
愉 nw
意 ujn
愕 nkk
愚 jmhn
感 dgkn
愤 nfa
愧 nrq
愿 drin
慈 uxxn
慌 nay
慎 nfh
慕 ajdn
慢 nj
慧 dhd
慨 nvc
慰 nfi
慷 nyv
憋 umin
憎 nul
憔 nwyo
憨 nbtn
憾 ndgn
懂 nat
懈 nq
懊 ntm
懒 ngkm
懦 nfdj
戈 agnt
戏 ca
成 dn
我 q
戒 aak
或 ak
战 hka
戚 dhi
截 faw
戳 nwya
戴 falw
户 yne
房 yny
所 rn
扁 ynma
扇 ynnd
手 rt
才 ft
扎 rnn
扑 rhy
扒 rwy
打 rs
扔 re
托 rta
扛 rag
扣 rk
执 rvy
扩 ry
扫 rv
扬 rnr
扭 rnf
扮 rwv
扯 rhg
扰 rdn
扳 rrc
扶 rfw
批 rx
扼 rdb
找 ra
承 bd
技 rfc
抄 rit
把 rcn
抑 rqb
抒 rcb
抓 rrhy
投 rmc
抖 rufh
抗 rymn
折 rr
抚 rfq
抛 rvl
抠 raq
抡 rwx
抢 rwb
护 ryn
报 rb
披 rhc
抬 rck
抱 rqn
抵 rqa
抹 rgs
押 rl
抽 rm
拂 rxjh
拄 ryg
担 rjg
拆 rry
拇 rxg
拉 ru
拌 rufh
拍 rrg
拐 rkl
拒 ran
拓 rd
拔 rdc
拖 rtb
拗 rxl
拘 rqk
拙 rbm
招 rvk
拜 rdfh
拟 rny
拢 rdx
拣 ranw
拥 reh
拦 ruf
拧 rps
拨 rnt
择 rcf
括 rtd
拭 raa
拯 rbi
拱 raw
拳 udr
拴 rwg
拷 rft
拼 rua
拾 rwgk
拿 wgkr
持 rf
挂 rffg
指 rxj
按 rpv
挎 rdfn
挑 riq
挖 rpwn
挚 rvyr
挟 rgu
挠 ratq
挡 riv
挣 rqvh
挤 ryj
挥 rpl
挨 rct
挪 rvf
挫 rww
振 rdf
挺 rtfp
挽 rqkq
捂 rgkg
捅 rce
捆 rls
捉 rkh
捌 rklj
捍 rjf
捎 rie
捏 rjfg
捐 rke
捕 rge
捞 rap
损 rkm
捡 rwgi
换 rq
捣 rqym
捧 rdw
据 rnd
捶 rtgf
捷 rgv
捺 rdfi
捻 rwyn
掀 rrq
掂 ryh
授 rep
掉 rhj
掌 ipkr
掏 rqr
掐 rqv
排 rdj
掖 ryw
掘 rnbm
掠 ryiy
探 rpws
接 ruv
控 rpw
推 rwyg
掩 rdjn
措 raj
掰 rwvr
掷 rudb
掸 rujf
掺 rcd
揉 rcbs
揍 rdwd
描 ral
提 rj
插 rtf
揖 rkb
握 rng
揣 rmd
揩 rxxr
揪 rto
揭 rjq
援 ref
揽 rjt
搀 rqku
搁 rut
搂 ro
搅 ripq
搏 rgef
搓 rud
搔 rcyj
搜 rvh
搞 rym
搪 ryv
搬 rte
搭 rawk
携 rwye
摄 rbcc
摆 rlf
摇 rer
摊 rcw
摔 ryx
摘 rum
摧 rmw
摩 yssr
摸 rajd
摹 ajdr
撇 rumt
撑 rip
撒 rae
撕 rad
撞 ruj
撤 ryc
撩 rdu
撬 rtfn
播 rtol
撮 rjb
撰 rnnw
撵 rfwl
撼 rdgn
擂 rfl
擅 ryl
操 rkk
擎 aqkr
擒 rwyc
擦 rpwi
攀 sqq
攒 rtfm
攘 ryk
支 fc
收 nh
改 nty
攻 at
放 yt
政 ght
故 dty
效 uqt
敌 tdt
敏 txgt
救 fiyt
教 ftbt
敛 wgit
敞 imkt
敢 nb
散 aet
敦 ybt
敬 aqk
数 ovt
敲 ymkc
整 gkih
敷 geht
文 yygy
斋 ydm
斑 gyg
斗 ufk
料 ou
斜 wtuf
斟 adwf
斤 rtt
斥 ryi
斧 wqr
斩 lr
断 on
斯 adwr
新 usr
方 yy
施 ytb
旁 upy
旅 ytey
旋 ytn
族 ytt
旗 yta
无 fq
既 vca
日 jjjj
旦 jgf
旧 hj
旨 xj
早 jh
旬 qj
旭 vj
旱 jfj
时 jf
旷 jyt
旺 jgg
昂 jqb
昆 jx
昌 jj
明 je
昏 qajf
易 jqr
昔 ajf
昙 jfcu
星 jtg
映 jmd
春 dw
昧 jfi
昨 jt
昭 jvk
是 j
昵 jnx
昼 nyj
显 jo
晃 ji
晋 gogj
晌 jtm
晒 jsg
晓 jat
晕 jp
晚 jq
晤 jgk
晦 jtx
晨 jd
普 uo
景 jy
晰 jsr
晴 jge
晶 jjj
智 tdkj
晾 jyiy
暂 lrj
暇 jnh
暑 jft
暖 jef
暗 ju
暮 ajdj
暴 jaw
曙 jl
曲 ma
更 gjq
曹 gma
曼 jlc
曾 ul
替 fwf
最 jb
月 eee
有 def
朋 ee
服 eb
朗 yvc
望 yneg
朝 fje
期 adwe
朦 eap
木 ssss
未 fii
末 gs
本 sg
术 sy
朱 ri
朴 shy
朵 ms
机 sm
朽 sgnn
杀 qsu
杂 vs
权 sc
杆 sfh
杈 scyy
杉 set
李 sb
杏 skf
材 sft
村 sf
杖 sdy
杜 sfg
束 gki
杠 sag
条 ts
来 go
杨 sn
杭 sym
杯 sgi
杰 so
松 swc
板 src
极 se
构 sq
枉 sgg
析 sr
枕 spq
林 ss
枚 sty
果 js
枝 sfc
枢 saq
枣 gmiu
枪 swb
枫 smq
枯 sd
架 lks
枷 slk
柄 sgm
柏 srg
某 afs
柑 saf
柒 ias
染 ivs
柔 cbts
柜 san
柠 sps
查 sj
柬 gli
柱 syg
柳 sqt
柴 hxs
柿 symh
栅 smm
标 sfi
栈 sgt
栋 sai
栏 suf
树 scf
栓 swg
栖 ssg
栗 ssu
校 suq
株 sri
样 su
核 synw
根 sve
格 st
栽 fas
桂 sff
桃 siq
桅 sqd
框 sagg
案 pvs
桌 hjs
桐 smgk
桑 cccs
档 si
桥 std
桦 swx
桨 uqs
桩 syf
桶 sce
梁 ivw
梅 stx
梆 sdt
梗 sgjq
梢 sie
梦 ssq
梧 sgk
梨 tjs
梭 scw
梯 sux
械 sa
梳 syc
检 sw
棉 srm
棋 sad
棍 sjx
棒 sdw
棕 sp
棘 gmii
棚 see
棠 ipks
森 sss
棱 sfw
棵 sjs
棺 spn
椅 sds
植 sfhg
椎 swy
椒 shi
椭 sbd
椰 sbb
椿 sdwj
楔 sdh
楚 ssn
楞 sl
楣 snh
楷 sx
楼 sov
概 svc
榄 sjtq
榆 swgj
榔 syv
榕 spwk
榛 sdwt
榜 sup
榨 spw
榴 sqy
槐 srq
槽 sgmj
樊 sqqd
樟 suj
模 saj
横 sam
樱 smmv
橄 snb
橘 scbk
橙 swgu
橡 sqj
橱 sdgf
檀 syl
檐 sqdy
檩 syli
檬 sap
欠 qw
次 uqw
欢 cqw
欣 rqw
欧 aqq
欲 wwkw
欺 adww
款 ffi
歇 jqw
歉 uvow
歌 sksw
止 hh
正 ghd
此 hx
步 hi
武 gah
歧 hfc
歪 gig
歹 gqi
死 gqx
歼 gqt
殃 gqm
殉 gqq
殊 gqr
残 gqg
殖 gqf
殴 aqm
段 wdm
殷 rvn
殿 naw
毁 va
毅 uem
母 xgu
每 txg
毒 gxgu
比 xx
毕 xxf
毙 xxgx
毛 tfn
毡 tfnk
毫 ypt
毯 tfno
氏 qa
民 n
氓 ynna
气 rnb
氛 rnw
氢 rnc
氧 rnu
氨 rnp
氮 rno
氯 rnv
水 ii
永 yni
汁 ifh
求 fiy
汇 ian
汉 ic
汗 ifh
汛 inf
汞 aiu
江 ia
池 ib
污 ifn
汤 inr
汪 ig
汰 idy
汹 iqbh
汽 irn
沃 itdy
沈 ipq
沉 ipm
沐 isy
沙 iit
沛 igmh
沟 iqc
没 im
沥 idl
沦 iwx
沧 iwb
沪 iyn
沫 igs
沮 ieg
河 isk
沸 ixj
油 img
治 ick
沼 ivk
沽 idg
沾 ihk
沿 imk
泄 iann
泉 riu
泊 ir
泌 int
法 if
泛 itp
泞 ips
泡 iqn
波 ihc
泣 iug
泥 inx
注 iy
泪 ihg
泰 dwiu
泳 iyni
泵 diu
泻 ipgg
泼 inty
泽 icf
洁 ifk
洋 iu
洒 is
洗 itf
洛 itk
洞 imgk
津 ivfh
洪 iaw
洲 iyt
活 itd
洼 iffg
洽 iwg
派 ire
流 iyc
浅 igt
浆 uqi
浇 iat
浊 ij
测 imj
济 iyj
浑 ipl
浓 ipe
浙 irr
浦 igey
浩 itfk
浪 iyv
浮 ieb
浴 iww
海 itx
浸 ivp
涂 iwt
消 iie
涉 ihi
涌 ice
涎 ithp
涕 iuxt
涛 idt
涝 iap
涡 ikm
涣 iqm
涤 its
润 iugg
涧 iujg
涨 ix
涩 ivy
涮 inm
涯 idf
液 iyw
涵 ibi
淀 ipgh
淆 iqd
淋 iss
淌 iim
淑 ihic
淘 iqr
淡 io
淤 iywu
淫 iet
淮 iwy
深 ipw
淳 iyb
混 ijx
淹 idj
添 igd
清 ige
渊 ito
渐 il
渔 iqgg
渗 icd
渠 ians
渡 iya
渣 isjg
渤 ifp
温 ijl
港 iawn
渴 ijq
游 iytb
渺 ihit
湃 ird
湖 ide
湘 ishg
湾 iyo
湿 ijo
溃 ikh
溅 imgt
溉 ivc
源 idr
溜 iqyl
溢 iuw
溪 iex
溯 iub
溶 ipwk
溺 ixu
滋 iux
滑 ime
滓 ipu
滔 iev
滚 iuc
滞 igk
满 iagw
滤 iha
滥 ijt
滨 ipr
滩 icw
滴 ium
漂 isf
漆 isw
漏 infy
漓 iybc
演 ipg
漠 iaj
漩 iyth
漫 ijlc
漱 igkw
漾 iugi
潘 itol
潜 ifw
潦 idui
潭 isj
潮 ifj
澄 iwgu
澈 iyct
澎 ifke
澜 iugi
澡 ik
澳 itm
激 iry
濒 ihim
瀑 ija
灌 iak
火 ooo
灭 goi
灯 os
灰 do
灵 vo
灶 of
灸 qyo
灼 oqy
灾 po
灿 om
炉 oyn
炊 oqw
炎 oo
炒 oi
炕 oym
炫 oyx
炬 oan
炭 mdo
炮 oq
炸 oth
点 hko
炼 oanw
烁 oqi
烂 oufg
烈 gqjo
烘 oaw
烙 otk
烛 oj
烟 ol
烤 oft
烦 odm
烧 oat
烫 inro
热 rvyo
烹 ybo
焊 ojf
焕 oqm
焙 ouk
焚 sso
焦 wyo
焰 oqv
然 qd
煌 or
煎 uejo
煞 qvt
煤 oa
照 jvko
煮 ftjo
熄 othn
熊 cexo
熏 tgl
熔 opw
熙 ahko
熟 ybv
熬 gqto
燃 oqdo
燎 odui
燕 au
燥 okk
爆 oja
爪 rhyi
爬 rhyc
爱 ep
爵 elv
父 wqu
爷 wqb
爸 wqc
爹 wqqq
爽 dqq
片 thg
版 thgc
牌 thgf
牍 thgd
牙 ah
牛 rhk
牡 trfg
牢 prh
牧 trt
物 tr
牲 trtg
牵 dpr
特 trf
牺 trs
犀 nir
犁 tjr
犬 dgty
犯 qtb
状 udy
犹 qtdn
狂 qtg
狈 qtmy
狐 qtr
狗 qtq
狞 qtp
狠 qtv
狡 qtu
独 qtj
狭 qtgw
狮 qtjh
狰 qtqh
狱 qtyd
狸 qtjf
狼 qty
猎 qta
猖 qtjj
猛 qtbl
猜 qtge
猩 qtjg
猪 qtfj
猫 qtal
猬 qtle
献 fmud
猴 qtw
猾 qtm
猿 qtfe
玄 yxu
率 yx
玉 gy
王 ggg
玖 gqy
玛 gcg
玩 gfq
玫 gt
环 ggi
现 gm
玲 gwy
玷 ghk
玻 ghc
珊 gmm
珍 gw
珠 gr
班 gyt
球 gfi
琅 gyv
理 gj
琉 gyc
琐 gim
琢 gey
琳 gss
琴 ggw
琼 gyiy
瑞 gmd
瑟 ggn
瑰 grq
璃 gyb
璧 nkuy
瓜 rcy
瓢 sfiy
瓣 ur
瓤 ykky
瓦 gny
瓮 wcg
瓶 uag
瓷 uqwn
甘 afd
甚 adwn
甜 tdaf
生 tg
甥 tgll
用 et
甩 en
甫 geh
田 lll
由 mh
甲 lhnh
申 jhk
电 jn
男 ll
甸 ql
画 gl
畅 jhnr
界 lwj
畏 lge
畔 luf
留 qyvl
畜 yxl
略 ltk
畦 lff
番 tol
畴 ldt
畸 lds
疆 xfg
疏 nhy
疑 xtdh
疗 ubk
疙 utn
疚 uqy
疟 uagd
疤 ucv
疫 umc
疮 uwb
疯 umq
疲 uhc
疹 uwe
疼 utu
疾 utd
病 ugm
症 ugh
痊 uwg
痒 uud
痕 uve
痘 ugku
痛 uce
痢 utj
痪 uqm
痰 uoo
痴 utdk
痹 ulgj
瘟 ujl
瘤 uqyl
瘦 uvh
瘩 uaw
瘪 uthx
瘫 ucwy
瘸 ulkw
瘾 ubq
癌 ukk
癞 ugkm
癣 uqg
登 wgku
白 rrr
百 dj
皂 rab
的 r
皆 xxr
皇 rgf
皮 hc
皱 qvhc
皿 lhng
盅 khl
盆 wvl
盈 ecl
益 uwl
盏 glf
盐 fhl
监 jtyl
盒 wgkl
盔 dol
盖 ugl
盗 uqwl
盘 tel
盛 dnnl
盟 jel
目 hhhh
盯 hs
盲 ynh
直 fh
相 sh
盹 hgb
盼 hwv
盾 rfh
省 ith
眉 nhd
看 rhf
真 fhw
眠 hna
眨 htp
眯 ho
眶 hag
眷 udhf
眼 hv
着 udh
睁 hqv
睛 hg
睡 ht
督 hich
睦 hf
睬 hes
睹 hft
瞄 hal
瞎 hp
瞒 hagw
瞧 hwy
瞪 hwg
瞬 hep
瞭 hdui
瞳 hu
瞻 hqd
矗 fhfh
矛 cbt
矢 tdu
知 td
矩 tda
矫 tdtj
短 tdg
矮 tdtv
石 dgtg
矾 dmy
矿 dyt
码 dcg
砂 di
砌 dav
砍 dqw
研 dga
砖 dfny
